retailer,product_name,url,url_quality,variant_match
Anthropologie,Green Deo,https://www.anthropologie.com/shop/megababe-the-green-deo-daily-deodorant-with-antioxidants?color=030,pdp,
Anthropologie,Night Rescue,https://www.anthropologie.com/shop/megababe-night-rescue-overnight-brightening-stick?color=050,pdp,
Anthropologie,Toe Deo,https://www.anthropologie.com/shop/megababe-toe-deo-foot-spray?color=263,pdp,
Anthropologie,Smoothie Deo,https://www.anthropologie.com/shop/megababe-the-smoothie-deo-fruit-enzyme-daily-deodorant?color=266,pdp,
Anthropologie,Chest-o Presto,https://www.anthropologie.com/brands/megababe,brand_page,
Anthropologie,Le Tush,https://www.anthropologie.com/shop/megababe-le-tush-mask?color=066,pdp,
Anthropologie,Body Dust,https://www.anthropologie.com/shop/megababe-body-dust?color=010,pdp,
Anthropologie,Thigh Rescue Unscented,https://www.anthropologie.com/brands/megababe,brand_page,
Anthropologie,Geo Deo,https://www.anthropologie.com/brands/megababe,brand_page,
Anthropologie,Après Shave Oil,https://www.anthropologie.com/shop/megababe-apres-shave-ingrown-razor-bump-roll-on2?color=066,pdp,
Anthropologie,Rosy Pits,https://www.anthropologie.com/shop/megababe-daily-deodorant?color=066&type=STANDARD&size=One+Size&quantity=1,pdp,
Anthropologie,Beachy Pits,https://www.anthropologie.com/shop/megababe-daily-deodorant2?color=040,pdp,
Anthropologie,Bust Dust,https://www.anthropologie.com/shop/megababe-bust-dust?color=010,pdp,
Anthropologie,Dust Puff,https://www.anthropologie.com/shop/hybrid/megababe-dust-puff?color=066,pdp,
Anthropologie,Sunny Pits,https://www.anthropologie.com/shop/megababe-daily-deodorant?color=270,pdp,
Anthropologie,Soapy Pits,https://www.anthropologie.com/shop/megababe-daily-deodorant2?color=102&type=STANDARD&size=One+Size&quantity=1,pdp,
Nordstrom,Thigh Rescue,https://www.nordstrom.com/s/thigh-rescue-anti-friction-stick/5252056?color=100,pdp,
Nordstrom,Apres Shave,https://www.nordstrom.com/s/megababe-aprs-shave-ingrown-hair-razor-bump-roll-on/7617419?color=650,pdp,
Nordstrom,Night Rescue,https://www.nordstrom.com/s/night-rescue-overnight-brightening-stick/7617418?color=500,pdp,
Nordstrom,Happy Pits,https://www.nordstrom.com/s/megababe-happy-pits-detoxifying-underarm-mask/5431823?color=100,pdp,
Nordstrom,Toe Deo,https://www.nordstrom.com/s/megababe-toe-deo-odor-blocking-foot-spray/6433993?color=500,pdp,
Nordstrom,Rosy Pits,https://www.nordstrom.com/s/rosy-pits-aluminum-free-deodorant/5252059?color=100,pdp,
Nordstrom,Glow Deo,https://www.nordstrom.com/s/megababe-the-glow-deo-daily-deodorant/7617619?color=500,pdp,
Nordstrom,Dry Guy,https://www.nordstrom.com/s/megaman-dry-guy-talc-free-body-powder/5431829?color=001,pdp,
Nordstrom,Friction Fighter,https://www.nordstrom.com/s/megaman-friction-fighter-anti-chafe-go-stick/5431827?color=440,pdp,
Nordstrom,Geo Deo,https://www.nordstrom.com/s/the-geo-deo-multi-mineral-daily-deodorant/7323970?color=000,pdp,
Nordstrom,Bust Dust,https://www.nordstrom.com/s/megababe-bust-dust/5252060?color=100,pdp,
